Email Address,Location Names,Escrow State
cherrycreeknorth@guardiancolo.com,CHERRY CREEK NORTH Columbine St - Guardian Title,Colorado
coloradosprings@guardiancolo.com,COLORADO SPRINGS SOUTH Research Pkwy - Guardian Title,Colorado
coloradosprings@guardiancolo.com,COLORADO SPRINGS NORTH Kelly Johnson - Guardian Title,Colorado
denvercentral@guardiancolo.com,DENVER CENTRAL Grant St - Guardian Title,Colorado
westlakewood@guardiancolo.com,DENVER WEST Union Blvd - Guardian Title,Colorado
evergreen@guardiancolo.com,EVERGREEN Stagecoach Blvd - Guardian Title,Colorado
fortcollins@guardiancolo.com,FORT COLLINS NORTH Oak Park Dr - Guardian Title,Colorado
fortcollins@guardiancolo.com,FORT COLLINS Horsetooth Rd - Guardian Title,Colorado
GVClosings@guardiancolo.com,GREENWOOD VILLAGE Orchard Rd - Guardian Title,Colorado
longmont@guardiancolo.com,LONGMONT Airport Rd - Guardian Title,Colorado
loveland@guardiancolo.com,LOVELAND NORTH 29th St - Guardian Title,Colorado
loveland@guardiancolo.com,LOVELAND EAST 15th St - Guardian Title,Colorado
newhomes@guardiancolo.com,NEW HOMES Orchard Rd - Guardian Title,Colorado
northmetro@guardiancolo.com,NORTH METRO Pecos St - Guardian Title,Colorado
parker@guardiancolo.com,PARKER Mainstreet - Guardian Title,Colorado
highlandsranch@guardiancolo.com,SOUTHWEST METRO Ridgeline - Guardian Title,Colorado
